Aachen;1442, 1485, 1486, 1473, 1475, 1488
Aalst;1488, 1482
Aalst in Flandern;1488
Aardenburg;1488
Abbeville;1472
Achen;1473, 1475, 1486, 1488
Admund;1483
Alst in Flandern;1488
Altenburg;1460
Andernach;1474, 1475, 1486
Anger;1442
Ansbach;1487
Antwerpen;1486, 1488, 1482, 1483, 1484, 1485, 1478, 1487, 1490, 1491, 1492, 1479
Ardenburg;1488
Arras;1448
Arwergk;1477
Aschaffenburg;1443, 1447, 1474
Augsburg;1442, 1473, 1474, 1485, 1492, 1491
Augsburg];1474
August;1467
Aussee;1452, 1454, 1467, 1442
Bacharach;1488
Bacherach;1486, 1488
Baden;1440, 1444, 1446, 1447, 1448, 1450, 1464, 1466, 1467, 1473, 1485, 1451, 1449
Bamberg;1448, 1450, 1485
Basel;1442, 1443, 1444, 1445, 1446, 1447, 1448, 1460, 1440, 1473
Basileae;1440
Belreguardi;1447
Belriguardi;1467
Bergen op Zoom;1488
Bern;1442, 1448, 1449, 1450
Besançon;1442
Biberach;1487, 1485
Bingen;1486
Bisanz;1442
Bleiburg;1449
Bologna;1459
Bonn;1454, 1486, 1488, 1475
Boppard;1488
Bopparten;1488
Bozani;1440
Bozen;1489, 1443
Breda;1489
Breisach;1449, 1442
Brisach;1442
Brixen;1443, 1489, 1442
Brixie;1447
Bruck;1440
Bruck an der Leitha;1470
Bruck an der Mur;1442, 1468, 1469, 1441, 1452
Brügge;1486, 1480, 1481, 1482, 1485, 1487, 1488, 1490, 1478, 1477, 1479
Brügge in Flandern;1477
Brünn;1458, 1459
Brüssel;1486, 1480, 1481, 1482, 1483, 1484, 1478, 1485, 1487, 1491, 1479, 1477
Cadolzburg;1444
Cainone;1445
Carlsperg;1483
Carpi;1447
Caynone;1448
Cilli;1457, 1462
Cilly;1441, 1457
Cistercii;1448
Coblenz;1453, 1488
Constanz;1442, 1445, 1446, 1452, 1459, 1460, 1461, 1485
Corczyn;1470
Cracoviae;1440
Cölln;1442, 1473, 1474, 1475, 1485, 1486, 1488
Delft;1489
Den Haag;1481
Dendermonde;1479
Dijon;1447
Dingolfing;1475
Dinkelsbühl;1487, 1474, 1489
Dinkelspühel;1485
Donauwörth;1475
Dordrecht;1489
Drosendorf;1486
Dyessenhoven;1448
Eberstorf;1442, 1468
Eberstorff;1465
Egenburg;1465, 1468, 1472
Eger;1461
Ehingen;1446
Emden;1464
Engers;1454
Enns;1466, 1484
Ensisheim;1442
Esslingen;1485, 1488
Ex civitate Ulixibonensi;1450
Feistritz;1457, 1462
Feldkirch;1442, 1447
Ferrara;1452, 1469
Florenz;1452, 1459, 1479
Frankfurt;1442, 1446, 1440, 1474, 1475, 1485, 1486, 1489
Frankfurt am Main;1489
Freiburg im Breisgau;1473, 1442
Freiburg im Uechtland;1442
Freiburg im Üchtland;1442
Freinstadt;1485
Freistadt;1485
Freyburg;1442, 1447, 1448, 1449
Freyburg im Breisgau;1442, 1473
Freyburg im Uechtland;1442
Freysingen;1447, 1455
Freystadt;1462
Friesach;1470, 1473
Fronleyttn;1469
Gelestorff;1460
Genf;1442
Gennt;1486
Gent;1447, 1486, 1480, 1481, 1485, 1477, 1478
Genua;1447
Germersheim;1471
Geysslingen;1488
Gmunden;1445, 1467, 1477, 1485
Graz;1453, 1456, 1457, 1461, 1462, 1466, 1468, 1469, 1470, 1473, 1478, 1479, 1483, 1447, 1451, 1455, 1443, 1444, 1441, 1448, 1449, 1471, 1472, 1484, 1459, 1458, 1442, 1467, 1446, 1460, 1464
Graz];1457
Grellenstein;1482
Grimma;1443
Griven;1481
Großenzersdorf;1462
Grunperg;1467
Grätz;1443, 1444, 1447, 1448, 1441, 1449, 1451, 1453, 1455, 1456, 1457, 1458, 1459, 1461, 1462, 1442, 1466, 1467, 1468, 1469, 1470, 1471, 1472, 1473, 1477, 1478, 1479, 1480, 1483, 1484
Gurk;1478
Göppingen;1488, 1473
Haderstorf;1463
Haderstorff;1463
Hagenau;1442, 1471, 1485
Haimburg;1440
Hainburg;1440
Hall;1487
Hall im Innthal;1443
Hall in Tirol;1442
Heidelberg;1449, 1450, 1455, 1466, 1471, 1472, 1474, 1488
Heimbach;1448
Heunfels;1451
Hulst;1492
Im Feld bei Evergem;1488
Im Feld bey Bucholt;1488
Im Felde bey Lachsenburg;1461
Im Heere von Gundelfingen;1462
Im Lager vor Neuss;1475
Im hindern Eysenertzt;1449
In Rupibus scissi Leonis;1449
In arce Nulliac;1489
In castris apud Lausannam;1476
In castro Clivis;1449
In dem veld bey Newnkirchen;1446
Ingolstadt;1461
Innsbruck;1442, 1443, 1447, 1450, 1451, 1460, 1461, 1464, 1470, 1474, 1477, 1478, 1485, 1486, 1488, 1489
Ischl;1442
Judenburg;1449, 1458, 1463, 1469
Kaiserstuhl;1446
Karlsberg;1481
Kempten;1485, 1488, 1447
Klosterneuburg;1446
Knittelfeld;1451, 1470
Koblenz;1473, 1488, 1492
Konstanz;1442, 1485
Kopenhagen;1475
Korneuburg;1447, 1458, 1462, 1467, 1477, 1479
Kotzsee;1448
Krainburg;1457
Krakau;1472, 1440
Krems;1448, 1449, 1453, 1459, 1466, 1442, 1477, 1483
Krumau;1442
Krummau;1460, 1483
Kulssheim;1485
Kuttenberg;1481
Köln;1442, 1473, 1475, 1486, 1488, 1474, 1485
Külssheim;1486
Laa;1477
Laibach;1444, 1470, 1489, 1449, 1457
Landsberg;1460, 1442
Landshut;1481, 1475
Lanstein;1439
Lausanne;1442, 1476
Laybach;1449
Leibnitz;1479
Lens;1477
Lens en Artois;1477
Leoben;1443, 1449, 1452, 1461, 1467, 1471
Leonfelden;1485
Lermoos;1485
Lichtentann;1483
Liechtenwerd;1483
Lier;1490
Lille;1478, 1479
Lindau;1485
Linz;1442, 1460, 1463, 1465, 1467, 1470, 1471, 1475, 1479, 1484, 1485, 1489, 1490, 1491, 1492, 1493, 1441
Linz am Rhein;1475
Liptzk;1487
Lissabon;1443, 1451
Lugduni;1444
Luntenburg;1441
Löwen;1482, 1477, 1483, 1485
Lüneburg;1457
Maastricht;1488, 1485, 1480
Maguntie;1441
Mailand;1447, 1448
Mainz;1442, 1441
Mannheim;1454
Mantua;1445, 1459, 1460
Marburg;1447, 1448, 1462
Marmiroli;1488
Martberg;1451
Maulbrunn;1486
Mechelen;1488
Mecheln;1477, 1488, 1486, 1481, 1482, 1484, 1485, 1478, 1489, 1491, 1492, 1493, 1494, 1480
Meissaw;1486
Meran;1442, 1446
Metz;1473, 1492
Millstatt;1457, 1470
Mittenwald;1442
Molins;1449
Mont;1447
Murau;1449
Mühlhausen;1442
Mühlstatt;1470
Namur;1480
Nausserlitz;1467
Nawserlitz;1468
Neapel;1452, 1467
Neuenburg im Breisgrau;1442
Neunmarkt;1469
Neuspaur;1461
Neuss;1488, 1475, 1486
Neustadt;1440, 1443, 1444, 1445, 1441, 1446, 1447, 1448, 1449, 1450, 1451, 1452, 1453, 1454, 1455, 1456, 1458, 1459, 1460, 1461, 1462, 1463, 1464, 1465, 1466, 1467, 1468, 1469, 1470, 1471, 1472, 1476, 1477, 1479, 1480, 1483, 1484
Newnstadt;1440
Nieder-Baden;1473
Niederbaden;1473
Niederliesse;1441
Nördlingen;1466, 1485, 1475
Nürnberg;1443, 1444, 1461, 1462, 1466, 1442, 1471, 1474, 1478, 1479, 1485, 1487, 1491
Ober-Cilli;1457
Oberburg;1462
Ofen;1443, 1444, 1446, 1447, 1461, 1463, 1464, 1477, 1478, 1480, 1481
Ollmütz;1481
Oppenheim;1488, 1486
Ortenburg;1457
Ottensheim;1477
Palczel;1455
Paris;1475, 1476
Passau;1444, 1459, 1471, 1475, 1447
Pesth;1446, 1450
Pettau;1447
Peuscheldorf;1469
Poherlitz;1445, 1441
Poppilstorp;1455
Pordenone;1489, 1452
Portenau;1452, 1489
Poserniz;1460
Prag;1459, 1460, 1461, 1463, 1480, 1481, 1482
Prag {recte: Graz};1461
Pressburg;1448, 1450, 1452, 1441, 1468, 1491
Preßburg;1450
Prugg in Flanndern;1486
Pusarnitz;1460
Raab;1440
Rabtcz;1468
Radmannsdorf;1457
Ravensburg;1448
Redege;1447
Regensburg;1444, 1446, 1447, 1462, 1471, 1490
Reichersberg;1440
Rein;1442
Remagen;1475, 1488
Retz;1461, 1467
Rheinfeld;1444
Rheinfelden;1442, 1448
Rissel;1479
Rom;1444, 1445, 1446, 1447, 1448, 1449, 1450, 1451, 1452, 1454, 1455, 1456, 1457, 1458, 1460, 1461, 1463, 1466, 1467, 1468, 1469, 1473, 1474, 1475, 1476, 1477, 1478, 1480, 1481, 1482, 1483, 1487, 1488, 1489
Rom – Fälschung –;1442
Romund;1479
Rosenheim;1485
Rotemburg an der Tauber;1474
Rotenburg;1452, 1481
